,Station_code,latitud,longitud,HOURNORAIN,T2MMAX,T2MMEAN,T2MMIN,TPRECMAX,FECHA
0,ACO,19.6355,-98.912,3427.0188,294.79175,286.76288,280.47913,0.0,2018-11-22 00:00:00
1,AJU,19.1547,-99.1625,3610.91309,296.93542,289.18112,283.17621,0.0,2018-11-22 00:00:00
2,AJM,19.2721,-99.2077,4919.60205,295.99326,288.21356000000003,282.27328,0.0,2018-11-22 00:00:00
3,ATI,19.577,-99.2541,6646.8457,294.71173,286.7756,280.89636,0.0,2018-11-22 00:00:00
4,BJU,19.3716,-99.15899999999999,5281.4209,295.2204,287.39392000000004,281.49152000000004,0.0,2018-11-22 00:00:00
5,CAM,19.4684,-99.1698,5812.01807,294.75748,286.91412,281.04752,0.0,2018-11-22 00:00:00
6,CCA,19.3262,-99.1761,5118.18945,295.54956,287.74255,281.82642000000004,0.0,2018-11-22 00:00:00
7,TEC,19.4872,-99.1142,5305.125,294.69092,286.82529,280.92151,0.0,2018-11-22 00:00:00
8,CHO,19.2669,-98.8861,1922.9873,295.98724,288.0972,282.10193,0.0,2018-11-22 00:00:00
9,COR,19.2653,-99.02600000000001,3072.05225,296.01279,288.16687,282.19208,0.0,2018-11-22 00:00:00
10,CUA,19.3653,-99.2917,6004.03711,295.32022,287.52667,281.66089,0.0,2018-11-22 00:00:00
11,CUT,19.7222,-99.1986,6253.79688,295.14911,287.02377,280.92947000000004,0.0,2018-11-22 00:00:00
12,DIC,19.2988,-99.1858,4988.66406,295.76517,287.97021,282.04236000000003,0.0,2018-11-22 00:00:00
13,EAJ,19.2712,-99.204,4885.2763700000005,296.0007,288.22033999999996,282.27893,0.0,2018-11-22 00:00:00
14,EDL,19.3134,-99.3106,5677.48828,295.69183,287.91582999999997,282.01605,0.0,2018-11-22 00:00:00
15,FAC,19.4825,-99.2435,6369.00781,294.73535,286.90921000000003,281.08435,0.0,2018-11-22 00:00:00
16,FAR,19.4737,-99.0462,4468.77051,294.73761,286.84695,280.88495,0.0,2018-11-22 00:00:00
17,GAM,19.4827,-99.0945,5078.90869,294.70239,286.82996,280.91003,0.0,2018-11-22 00:00:00
18,HGM,19.4116,-99.1522,5431.27734,294.98834,287.14941,281.25696,0.0,2018-11-22 00:00:00
19,INN,19.292,-99.3805,5687.44385,295.86782999999997,288.11118,282.20078,0.0,2018-11-22 00:00:00
20,IZT,19.3844,-99.1176,4942.5986299999995,295.13431,287.28943,281.36938,0.0,2018-11-22 00:00:00
21,LPR,19.5347,-99.1177,5529.35547,294.61352999999997,286.69644,280.75659,0.0,2018-11-22 00:00:00
22,LAA,19.4838,-99.1473,5644.01709,294.70239,286.84912,280.97028,0.0,2018-11-22 00:00:00
23,IBM,19.4433,-99.2154,6064.75293,294.8681,287.04175,281.19202,0.0,2018-11-22 00:00:00
24,LOM,19.403,-99.2421,6034.13379,295.07288,287.26122999999995,281.40515,0.0,2018-11-22 00:00:00
25,LLA,19.5788,-99.0396,4618.46338,294.68273999999997,286.71979,280.65407999999996,0.0,2018-11-22 00:00:00
26,MER,19.4246,-99.1196,5164.69189,294.91739,287.0639,281.15454,0.0,2018-11-22 00:00:00
27,MGH,19.4041,-99.2026,5808.70215,295.05011,287.22891,281.35907000000003,0.0,2018-11-22 00:00:00
28,MPA,19.1769,-98.9902,2093.64941,296.71117999999996,288.88097999999997,282.91397,0.0,2018-11-22 00:00:00
29,MON,19.4604,-98.9029,2984.27222,294.85843,286.92587000000003,280.86771,0.0,2018-11-22 00:00:00
30,MCM,19.4291,-99.1319,5308.43555,294.90137000000004,287.05163999999996,281.15117999999995,0.0,2018-11-22 00:00:00
31,NEZ,19.3937,-99.0282,3941.39014,295.08014,287.19629,281.22031,0.0,2018-11-22 00:00:00
32,PED,19.3251,-99.2041,5316.7168,295.56747,287.76889,281.86008,0.0,2018-11-22 00:00:00
33,SAG,19.533,-99.0303,4487.84668,294.61685,286.6781,280.64383,0.0,2018-11-22 00:00:00
34,SNT,19.2504,-99.2565,4983.93213,296.18338,288.42107999999996,282.46951,0.0,2018-11-22 00:00:00
35,SFE,19.3574,-99.2629,5852.35547,295.36208999999997,287.5665,281.69052,0.0,2018-11-22 00:00:00
36,SAC,19.3456,-99.0094,3449.4887700000004,295.38336,287.50446,281.51981,0.0,2018-11-22 00:00:00
37,TAH,19.2465,-99.0106,2770.2463399999997,296.16882000000004,288.32343,282.34747000000004,0.0,2018-11-22 00:00:00
38,TLA,19.5291,-99.2046,6351.58154,294.6113,286.71124,280.84344,0.0,2018-11-22 00:00:00
39,TLI,19.6025,-99.1772,6122.7251,294.75622999999996,286.79152999999997,280.84442,0.0,2018-11-22 00:00:00
40,UIZ,19.3608,-99.0739,4306.01904,295.27441,287.41772000000003,281.46774,0.0,2018-11-22 00:00:00
41,UAX,19.3044,-99.1036,4255.406739999999,295.70184,287.87555,281.92694,0.0,2018-11-22 00:00:00
42,VIF,19.6582,-99.0966,5314.4458,294.88071,286.84972999999997,280.74835,0.0,2018-11-22 00:00:00
43,XAL,19.526,-99.0824,5109.405760000001,294.60247999999996,286.68176,280.71066,0.0,2018-11-22 00:00:00
