CO,DIFF,FECHA,HOURNORAIN,NO,NO2,NOX,O3,PM10,PM25,PMCO,RH,SO2,Station_code,T2MMAX,T2MMEAN,T2MMIN,TMP,TPRECMAX,WDR,WSP,class_tmp,latitud,longitud,prev_CO,prev_NO2,prev_NOX,prev_O3,prev_PM10,prev_PM25,prev_PMCO,prev_SO2
11.6467282462,0.3307733333,2016-01-01 00:00:00,370.13086,3.5833333333,23.4166666667,27,44.9166666667,88.7565156493,65.9194327105,22.795642545,61.5833333333,16.5833333333,AJM,23.8944,15.72244,9.10491,15.3916666667,1E-05,158.2083333333,2.2666666667,2,19.2721,-99.2077,11.6467282462,23.4166666667,27,44.9166666667,88.7565156493,65.9194327105,22.795642545,16.5833333333
4.0327894895,0.4200033333,2016-01-02 00:00:00,0,3.6593300029,14.2059359389,17.7409344696,34.6424895445,33.156375583,19.0663850509,14.0954210789,66.875,4.4291282518,AJM,21.75448,14.74917,9.5942,14.3291666667,1E-05,153.7083333333,2.0333333333,2,19.2721,-99.2077,11.6467282462,23.4166666667,27,44.9166666667,88.7565156493,65.9194327105,22.795642545,16.5833333333
9.0729166667,-0.43483,2016-01-03 00:00:00,0,5.625,24.375,30.1666666667,28,45.25,27.7083333333,17.4583333333,64.0416666667,9.8333333333,AJM,22.23904,14.59017,8.75048,15.025,2E-05,174.625,2.1083333333,2,19.2721,-99.2077,4.0327894895,14.2059359389,17.7409344696,34.6424895445,33.156375583,19.0663850509,14.0954210789,16.5833333333
8.9979166667,0.67623,2016-01-04 00:00:00,0,22.1666666667,31.4166666667,53.7916666667,10.9166666667,52.5,35.5416666667,17.125,77.5416666667,7.3333333333,AJM,16.88677,12.61373,9.00384,11.9375,0.00038,145.5,1.725,2,19.2721,-99.2077,9.0729166667,24.375,30.1666666667,28,45.25,27.7083333333,17.4583333333,4.4291282518
4.6943514054,-0.34874,2016-01-05 00:00:00,0,6.3431616711,12.9547372416,19.465568371,29.1774686335,18.75,10.7083333333,8.0833333333,60.25,1.6207180887,AJM,19.71908,12.45126,7.423,12.8,0.00026,182.6666666667,3.0875,2,19.2721,-99.2077,8.9979166667,31.4166666667,53.7916666667,10.9166666667,52.5,35.5416666667,17.125,9.8333333333
4.6604166667,-0.7451033333,2016-01-06 00:00:00,0,1.7916666667,6.375,8,34.7083333333,13.25,4.125,9.0416666667,44.2083333333,0.0833333333,AJM,19.64544,12.35073,7.43426,13.0958333333,2E-05,228.4583333333,4.1625,2,19.2721,-99.2077,4.6943514054,12.9547372416,19.465568371,29.1774686335,18.75,10.7083333333,8.0833333333,7.3333333333
4.5708333333,-0.65862,2016-01-07 00:00:00,16.28962,2.75,9.2916666667,12.25,36.625,15.0833333333,6.3333333333,8.7916666667,47.875,0.4583333333,AJM,18.90896,11.26638,5.83816,11.925,3E-05,160.9166666667,3.7375,2,19.2721,-99.2077,4.6604166667,6.375,8,34.7083333333,13.25,4.125,9.0416666667,1.6207180887
6.48125,-1.8440033333,2016-01-08 00:00:00,1165.19104,3.6666666667,12.0416666667,15.75,39.5416666667,18.7083333333,6.125,12.5833333333,37.1666666667,0.4583333333,AJM,19.38842,10.91433,5.68743,12.7583333333,1E-05,172.125,3.6958333333,1,19.2721,-99.2077,4.5708333333,9.2916666667,12.25,36.625,15.0833333333,6.3333333333,8.7916666667,0.0833333333
4.9529926366,-2.14418,2016-01-09 00:00:00,782.92242,4,11.125,15,44,22.6354585277,10.8554616836,11.823473693,22.5416666667,0.625,AJM,20.30728,11.13082,4.85879,13.275,0,166.4583333333,3.1166666667,1,19.2721,-99.2077,6.48125,12.0416666667,15.75,39.5416666667,18.7083333333,6.125,12.5833333333,0.4583333333
3.8339779099,-1.1990666667,2016-01-10 00:00:00,1701.02405,3.2083333333,11.6666666667,15.0416666667,29.5833333333,33.156375583,19.0663850509,14.0954210789,37.375,0.625,AJM,17.59847,11.5176,6.85433,12.7166666667,0,176.5833333333,2.6125,2,19.2721,-99.2077,4.9529926366,11.125,15,44,22.6354585277,10.8554616836,11.823473693,0.4583333333
